"SITECODE","DESIGNATIONCODE","DESIGNATEDSITENAME","OVERLAPCODE","OVERLAPPERC"
"AT1203000","AT03","Rothwald II","+",
"AT1203A00","AT03","","",4
"AT1203A00","AT04","","",100
"AT1203A00","AT04","Ötscher - Dürrenstein","-",100
"AT1204000","","Nature reserve ""Braunsberg""","+",
"AT1204000","AT01","","",74
"AT1204000","AT04","","",99
"AT1204V00","","Braunsberg","+",
"AT1204V00","","Donau-March-Auen","-",100
"AT1204V00","AT01","Donau-Auen","+",76
"AT1204V00","AT03","Braunsberg - Hundsheimer Berg","+",
"AT1204V00","AT04","","",100
"AT1205000","","Wachau","+",50
"AT1205000","AT02","","",43
"AT1205000","AT04","Wachau und Umgebung","+",98
"AT1205000","AT10","","",
"AT1205A00","","Wachau","+",70
"AT1205A00","AT04","Göttweiger Berg und seine Umgebung","+",1
"AT1206A00","AT02","","",46
"AT1207000","AT10","Konglomerathöhle","+",
"AT1207000","AT10","Steinwandlloch","+",
"AT1207A00","AT02","","",6
"AT1207A00","AT28","Ottensteiner Teiche","+",
"AT1208A00","AT01","","",30
"AT1208A00","AT03","","",18
"AT1208A00","AT03","Thayatal","+",18
"AT1208A00","AT04","Thayatal","+",20
"AT1209000","AT10","Fuchsenlucke","+",
"AT1209000","AT10","Hangenstein","+",
"AT1209A00","AT04","","",27
"AT1210000","AT10","","",
"AT1210000","AT10","Krautgärten Oberwaltersdorf","+",
"AT1210A00","AT03","Kalkschottersteppe Obereggendorf","+",
"AT1211000","AT02","","",11
"AT1211000","AT02","Sparbach","+",1
"AT1211000","AT03","Glaslauterriegel - Heferlberg","+",
"AT1211000","AT10","Allander Tropfsteinhöhle","+",
"AT1211A00","AT02","Eichenhain","+",6
"AT1212000","AT02","Hohe Wand","+",9
"AT1212A00","AT02","Falkenstein","+",
"AT1212A00","AT02","Sierningtal","+",1
"AT1213000","AT03","Lassee","+",
"AT1213000","AT10","","",1
"AT1213000","AT10","Schmetterlingswiese","+",
"AT1213V00","AT03","Sandberge Oberweiden","+",
"AT1213V00","AT32","","",10
"AT1214000","AT32","","",4
"AT1215000","AT04","","",100
"AT1216000","AT03","Stockerauer Au","+",2
"AT1216V00","AT10","","",
"AT1216V00","AT10","Feuchtbiotop","+",
"AT1218V00","AT03","Hochau","+",
"AT1219000","AT10","Pielachdurchbruch (in prep.)","+",
"AT1219V00","AT04","Wachau und Umgebung","+",18
"AT1220V00","AT10","","",
"AT1101112","AT03","","",100
"AT1103112","AT03","","",100
"AT1108813","AT02","","",20
"AT1110137","","Neusiedler See","+",42
"AT1110137","","Ramsargebiet Neusiedler See - Seewinkel - Waasen","+",77
"AT1110137","AT14","","",30
"AT1110137","AT46","","",3
"AT1123323","AT03","","",10
"AT1123323","AT03","Marzer Kogl; Rohrbacher Teichwiesen","-",10
"AT1201000","AT02","Jauerling - Wachau","+",
"AT1201000","AT03","Lainsitzniederung","+",
"AT1201000","AT04","Wachau und Umgebung","+",3
"AT1201000","AT10","Großer Kamp","+",
"AT1201A00","","Nature Reserve Karlstifter Moore","+",
"AT1201A00","AT03","Blockheide Eibenstein","+",1
"AT1201A00","AT03","Gebhartsteich","+",1
"AT1201A00","AT03","Gemeindeau","+",
"AT1201A00","AT03","Schremser Hochmoor","+",1
"AT1202000","AT03","","",18
"AT1202000","AT03","Angerner und Dürnkruter Marchschlingen","+",1
"AT1202000","AT03","Kleiner Breitensee","+",1
"AT1202000","AT10","Marienbründl","+",
"AT1202V00","AT03","Angerner und Dürnkruter Marchschlingen","+",1
"AT1202V00","AT03","Rabensburger Thaya-Auen","+",3
"AT1202V00","AT03","Salzsteppe Baumgarten an der March","+",
"AT1202V00","AT10","","",1
"AT1203000","AT03","Hundsau (in prep.)","+",1
"AT1203000","AT03","Lechnergraben","+",1
"AT1203000","AT03","Oiswald (in prep.)","+",1
"AT1203000","AT04","Ötscher - Dürrenstein","-",100
"AT1203000","AT10","Die Not","+",
"AT1203000","AT10","Kalktuffquelle bei Breiteneben","+",
"AT1203A00","","Rothwald I","+",
"AT1204000","AT01","Donau Auen","+",74
"AT1204V00","AT03","Lobau - Schüttelau - Schönauer Haufen","+",6
"AT1204V00","AT04","Donau-March-Thaya-Auen","-",100
"AT1205000","AT03","","",
"AT1205000","AT03","Gurhofgraben","+",
"AT1205000","AT10","Im Sommerl","+",
"AT1205000","AT10","Iriswiese","+",
"AT1205000","AT10","Michaelerberg (in prep.)","+",
"AT1205000","AT10","Setzberg","+",
"AT1206A00","AT02","Leiserberge","+",46
"AT1207000","AT10","Irblingfelsen","+",
"AT1207000","AT10","Steinwandlschluf","+",
"AT1209000","AT03","Mühlberg","+",
"AT1209000","AT04","","",6
"AT1209000","AT10","","",
"AT1209A00","AT04","Retzer Hügelland","+",5
"AT1210000","AT03","Kalkschottersteppe Obereggendorf","+",
"AT1210000","AT03","Schönauer Teich","+",1
"AT1211000","","Eichkogel","+",
"AT1211000","AT02","Föhrenberge","+",6
"AT1211000","AT02","Sandstein-Wienerwald","+",
"AT1211000","AT03","Fuchsberg (in prep.)","+",
"AT1211000","AT03","Perchtholdsdorfer Heide (in prep.)","+",
"AT1211000","AT04","","",100
"AT1211000","AT04","Wienerwald","-",100
"AT1211000","AT10","Einödhöhle","+",
"AT1211A00","AT02","Föhrenberge","+",11
"AT1211A00","AT04","","",100
"AT1211A00","AT04","Wienerwald","-",100
"AT1212000","AT04","Enzesfeld - Lindabrunn - Hernstein","+",14
"AT1212A00","AT02","","",5
"AT1213000","AT03","Sandberge Oberweiden","+",5
"AT1213000","AT03","Wacholderheide Obersiebenbrunn","+",1
"AT1213000","AT10","Ernestinenhof - Remise","+",1
"AT1213000","AT32","","",50
"AT1213000","AT34","","",2
"AT1213V00","","Donau-March-Auen","+",7
"AT1213V00","AT03","Lassee","+",
"AT1213V00","AT03","Wacholderheide Obersiebenbrunn","+",
"AT1214000","AT03","","",18
"AT1214000","AT03","Braunsberg-Hundsheimer Berg","+",8
"AT1214000","AT03","Spitzerberg","+",10
"AT1216000","AT03","","",2
"AT1216V00","AT03","","",2
"AT1219000","AT04","","",13
"AT1219000","AT10","Erlaufschlucht","+",
"AT1219000","AT10","Melkfluß - Teilbereich ""In der Diemling""","+",
"AT1104212","AT00","","",67
"AT1104212","AT03","","",30
"AT1106218","AT04","","",100
"AT1108813","AT03","","",1
"AT1108813","AT04","","",99.9
"AT1110137","","Neusiedler See","+",89
"AT1110137","AT01","","",16
"AT1110137","AT03","","",1
"AT1115415","AT31","","",100
"AT1122916","AT03","","",27
"AT1122916","AT06","","",8
"AT1123323","AT04","","",99
"AT1123323","AT04","Landschaftsschutzgebiet Rosalia - Kogelberg","*",99
"AT1126129","AT01","","",5
"AT1201000","","Nature Reserve Karlstifter Moore","+",
"AT1201000","AT03","","",1
"AT1201000","AT03","Bruneiteich","+",
"AT1201000","AT03","Gebhartsteich","+",
"AT1201000","AT04","Großpertholz","+",1
"AT1201A00","AT02","Dobersberg","+",
"AT1201A00","AT02","Gemeindeau Heidenreichstein","+",
"AT1201A00","AT03","","",4
"AT1201A00","AT03","Bruneiteich","+",
"AT1201A00","AT03","Meloner Au","+",1
"AT1201A00","AT03","Rottalmoos","+",
"AT1201A00","AT04","Thayatal","+",4
"AT1202000","AT04","","",72
"AT1202000","AT31","","",10
"AT1202V00","AT03","Kleiner Breitensee","+",
"AT1202V00","AT04","","",46
"AT1202V00","AT10","Salzsteppengebiet","+",
"AT1202V00","AT10","Tümpelwiese","+",
"AT1202V00","AT31","","",10
"AT1203000","AT03","Rothwald III","+",1
"AT1203000","AT04","","",100
"AT1203000","AT10","","",
"AT1203A00","","Rothwald II","+",
"AT1203A00","AT02","Ötscher - Tormäuer","+",12
"AT1203A00","AT03","Hundsau (in prep.)","+",1
"AT1203A00","AT03","Lechnergraben","+",1
"AT1203A00","AT03","Leckermoos","+",
"AT1203A00","AT03","Stockgrund - Kothbergtal","+",
"AT1204000","","Donau-March-Auen","-",100
"AT1204000","AT04","Donau-March-Thaya-Auen","-",99
"AT1204V00","AT01","","",76
"AT1205000","","Gurhofgraben","+",
"AT1205000","AT02","Jauerling - Wachau","+",43
"AT1205000","AT10","Dürnsteiner Felsen","+",
"AT1205000","AT10","Teufelsmauer","+",
"AT1205A00","AT02","Jauerling - Wachau","+",28
"AT1206A00","AT04","Falkenstein","+",6
"AT1207000","AT10","","",
"AT1207A00","AT04","","",64
"AT1207A00","AT04","Kamptal","+",64
"AT1207A00","AT04","Wachau und Umgebung","+",
"AT1207A00","AT28","","",1
"AT1208A00","AT04","","",20
"AT1209000","AT10","Schalenstein","+",
"AT1209000","AT10","Trockenstandort","+",
"AT1210000","AT03","","",1
"AT1211000","","Glaslauterriegel - Heferlberg","+",
"AT1211000","AT02","Eichenhain","+",4
"AT1211000","AT03","","",
"AT1211000","AT03","Frauenstein - Jennyberg (in prep.)","+",
"AT1211000","AT10","","",1
"AT1211000","AT10","Felsaufschlüsse/Tertiärmeer","+",
"AT1211000","AT10","Feuchtwiesen am Hametberg","+",
"AT1211000","AT10","Quelliges Flachmoor bei Markersdorf","+",
"AT1211000","AT10","Schneckenreservat Hansybach","+",
"AT1211A00","AT02","","",18
"AT1211A00","AT02","Sandstein-Wienerwald","+",
"AT1211A00","AT02","Sparbach","+",1
"AT1212000","AT04","","",48
"AT1213000","AT10","Halbtrockenrasen- und Trockenrasenhänge","+",
"AT1213V00","AT10","","",
"AT1213V00","AT10","Ernestinenhof Remise","+",
"AT1214000","","Spitzerberg","+",10
"AT1215000","AT04","Bisamberg und seine Umgebung","+",100
"AT1216V00","AT03","Stockerauer Au","+",2
"AT1219000","AT10","Ausstand Alte Melk","+",
"AT1219000","AT10","Ofenloch (in prep.)","+",
"AT1220V00","","Pischeldorfer Wiesen","+",
"AT1220V00","AT03","","",
"AT1301000","AT01","Nationalpark Donau-Auen (Wiener Teil)","=",100
"AT1302000","","Biosphärenpark Wienerwald","=",100
"AT1302000","AT03","","",100
"AT1218V00","AT03","","",
"AT1219000","AT04","Forstheide","+",6
"AT1219000","AT04","Wachau und Umgebung","+",7
"AT1219000","AT10","","",1
"AT1219000","AT10","Auwald Mank (in prep.)","+",
"AT1219V00","AT03","","",1
"AT1219V00","AT03","Mühlau (in prep.)","+",
"AT1219V00","AT04","","",18
"AT1220V00","AT03","Pischeldorfer Wiesen","+",
"AT1221V00","AT04","","",3
"AT1221V00","AT04","Kamptal","+",3
"AT1301000","","Lobau","+",50
"AT1301000","AT01","","",100
"AT1301000","AT03","","",90
"AT1303000","AT04","Liesing (Teil A, B, C und D)","=",100
"AT1304000","AT04","","",100
"AT1305000","AT04","","",100
"AT2103000","","Naturschutzgebiet Hörfeldmoor","=",100
"AT2103000","AT03","","",100
"AT2103000","AT14","","",90
"AT2106000","AT03","","",100
"AT2106000","AT03","Mussen","=",100
"AT2107000","AT10","","",100
"AT2107000","AT14","","",30
"AT2108000","AT03","Inneres Pöllatal","=",100
"AT2109000","AT03","","",100
"AT2110000","AT03","","",100
"AT2110000","AT03","Vogelschutzgebiet Großedlinger Teich","=",100
"AT2111000","AT14","","",7
"AT2112000","AT02","Naturpark Dobratsch","/",100
"AT2113000","AT30","Völkermarkter Stausee","/",0
"AT2114000","","Obere Drau","=",100
"AT2116000","AT00","","",40
"AT2117000","AT04","","",100
"AT2120000","AT04","","",70
"AT2124000","AT03","","",5
"AT2126000","AT03","","",50
"AT2129000","AT01","Nationalpark Hohe Tauern","-",100
"AT2130000","AT04","","",93
"AT2131000","AT00","","",100
"AT2134000","AT17","","",1
"AT2134000","AT19","","",30
"AT2135000","AT10","","",100
"AT2141000","AT14","","",100
"AT2146000","AT04","","",100
"AT2150000","AT04","","",100
"AT2150000","AT04","Landschaftsschutzgebiete ""Leonstain""","-",100
"AT2151000","AT03","","",80
"AT2152000","AT14","","",100
"AT2204000","AT03","","",100
"AT2205000","AT03","Naturschutzgebiet Nr 20 c Grieshoflacke","+",1
"AT2205000","AT30","","",1
"AT2206000","AT03","","",100
"AT2209000","AT02","Naturpark Sölktaler","*",35
"AT2209000","AT03","","",13
"AT2209000","AT03","Naturschutzgebiet Nr. XIV, Riesachtal","*",2
"AT2209002","AT04","","",100
"AT2211000","AT03","Naturschutzgebiet Hartberger-Gmoos","+",70
"AT2211000","AT30","","",5
"AT2212000","AT03","Naturschutzgebiet Wörschacher Moos","+",6
"AT2212000","AT17","Enns mit Seitenbächen","+",5
"AT2213000","","Murauen (Graz-Leibnitz-Spielfeld-Sicheldorf)","*",98
"AT2213000","AT17","","",1
"AT2213000","AT27","","",5
"AT2213000","AT27","verschiedene Bereiche","*",5
"AT2216000","AT03","Kirchkogel bei Kirchdorf","+",80
"AT2217000","AT03","","",90
"AT2217000","AT03","Peggauer Wand","-",90
"AT2217000","AT04","","",10
"AT2218000","AT06","Herbersteinklamm","=",100
"AT2221000","AT03","","",25
"AT2221000","AT04","Mittleres Ennstal","-",100
"AT2223000","AT00","","",97
"AT2223000","AT32","","",3
"AT2224000","AT04","Dachstein - Salzkammergut","+",100
"AT2225000","AT03","Nr. 27c: Demmerkogelwiese","-",0
"AT2225000","AT04","Sausal","-",87
"AT2226000","AT06","Furtner Teich Hochfeld, Adendorffeld und Mosfeld","*",20
"AT2226001","AT04","Landschaftsschutzgebiet Furtner Teich - Grebenzen","*",20
"AT2227000","AT10","Flußlauf des Gullingbaches","-",20
"AT2227000","AT17","Gulling mit Uferbereichen","+",20
"AT2228000","AT03","","",81
"AT1301000","","Untere Lobau","+",50
"AT1303000","","Biospärenpark Wienerwald","=",100
"AT1303000","AT04","","",100
"AT2101000","AT01","Nationalpark Hohe Tauern","-",100
"AT2102000","AT29","","",100
"AT2104000","AT03","Sablatnigmoor bei Eberndorf","=",100
"AT2105000","AT03","Vellacher Kotschna","=",100
"AT2107000","AT10","Stappitzer See und Umgebung","=",100
"AT2112000","AT02","","",100
"AT2113000","AT03","","",100
"AT2116000","AT10","","",2
"AT2116000","AT14","","",60
"AT2118000","AT14","","",100
"AT2120000","AT02","","",95
"AT2120000","AT14","","",2
"AT2121000","AT03","Höfleinmoor","=",100
"AT2125000","AT00","","",75
"AT2125000","AT04","Pyramidenkogel","-",25
"AT2127000","AT32","","",60
"AT2128000","AT00","","",94
"AT2130000","AT04","Lendspitz-Siebenhügel","-",64
"AT2132000","AT14","","",100
"AT2137000","AT04","","",100
"AT2139000","AT00","","",100
"AT2143000","AT10","Lanzendorfer Moor","+",100
"AT2143000","AT14","","",100
"AT2144000","AT00","","",100
"AT2149000","AT10","","",10
"AT2204000","","Hallstatt-Dachstein-Salzkammergut","+",100
"AT2205000","","Biogenetisches Reservat Pürgschachen-Moos","-",3
"AT2205000","AT04","Landschaftsschutzgebiet Nr. 16 a Ennstaler Alpen","-",78
"AT2205000","AT30","BEP-Program Land Steiermark","+",1
"AT2206000","AT03","Naturschutzgebiet Ödensee","=",100
"AT2207000","","Ramsar Gebiet Hörfeld","=",100
"AT2207000","AT00","","",32
"AT2207000","AT03","","",68
"AT2207000","AT03","Naturschutzgebiet Hörfeld-Moor","-",100
"AT2208000","","Lafnitztal","*",70
"AT2209000","AT03","Naturschutzgebiet 4c, Gebiet um den Sölkpaß","*",1
"AT2209000","AT03","Naturschutzgebiet Nr. XII, Bodensee Sattenbachtal","*",2
"AT2209001","AT04","Schladminger Tauern bis zum Sölkerpaß (Naturpark Sölktäler)","*",86
"AT2209003","AT03","","",99
"AT2209003","AT03","XV. Krakau - Schöder","-",98
"AT2209003","AT04","","",1
"AT2209003","AT04","Schladminger Tauern bis zum Sölker Paß","*",1
"AT2210000","AT03","","",60
"AT2211000","AT00","","",30
"AT2211000","AT03","","",70
"AT2211000","AT36","","",5
"AT2212000","AT04","","",91
"AT2212000","AT17","","",5
"AT2213000","AT04","","",99
"AT2213000","AT04","Murauen-Mureck-Bad Radkersburg-Klöch","*",99
"AT2215000","AT03","","",20
"AT2215000","AT04","Reiting Eisenerzer Reichenstein","*",80
"AT2216000","AT03","","",80
"AT2216000","AT04","Kirchkogel Haidenberg","*",20
"AT2217000","AT03","Stollen IX in der Peggauer Wand","-",
"AT2219000","AT03","Naturschutzgebiet lit. c Nr. 53 Steirische Nockberge","=",100
"AT2220000","AT03","Nr. 1c : West- und Ostabhänge des Zirbitzkogels","=",100
"AT2224000","AT04","","",100
"AT2225000","AT03","Nr. 47c: Sulmaltarme","-",0
"AT2225000","AT04","","",87
"AT2225000","AT17","Fließgewässer","-",3
"AT2227000","AT10","","",20
"AT2229000","AT17","","",1
"AT2229002","AT04","Mittleres Ennstal","*",59
"AT2229002","AT04","Oberes Ennstal","*",16
"AT2229002","AT17","","",5
"AT2229002","AT17","Enns mit Seitenbächen","*",5
"AT2229002","AT99","","/",
"AT2230000","AT17","Fließgewässer","-",1
"AT2233000","AT04","","",20
"AT2233000","AT11","","",2
"AT2233000","AT11","Katerloch, etc.","-",2
"AT2236000","AT00","","",6
"AT2236000","AT03","Naturschutzgebiet Puxer Auwald","-",
"AT2236000","AT03","Naturschutzgebiet: Murinsel Triebendorf","-",
"AT1219V00","AT03","Neubacher Au und Ofenloch (in prep.)","+",1
"AT1303000","AT10","","",5
"AT1304000","AT04","Landschaftsschutzgebiet Floridsdorf","=",100
"AT1304000","AT10","","",3
"AT1304000","AT10","""Alte Schanzen""","+",3
"AT1305000","AT04","Landschaftsschutzgebiet Döbling","=",100
"AT2103000","AT03","Hörfeld Moor, Anteil Steiermark","/",0
"AT2104000","AT03","","",100
"AT2107000","AT01","Nationalpark Hohe Tauern","/",0
"AT2112000","AT03","","",100
"AT2113000","AT14","","",20
"AT2114000","AT14","","",43
"AT2115000","","Autertal - St. Lorenzener Hochmoor","=",100
"AT2115000","AT14","","",94
"AT2116000","AT04","","",15
"AT2117000","","Sablatnigmoor","/",0
"AT2117000","AT13","","",40
"AT2119000","AT03","","",100
"AT2121000","AT03","","",100
"AT2122000","AT14","","",100
"AT2123000","AT00","","",10
"AT2123000","AT14","","",90
"AT2124000","AT00","","",80
"AT2125000","AT04","","",25
"AT2126000","AT14","","",25
"AT2129000","AT01","","",100
"AT2130000","AT14","","",75
"AT2133000","AT03","","",100
"AT2136000","AT10","","",10
"AT2146000","","Moor- und Seenlandschaft Keutschach - Schiefling","-",100
"AT2146000","AT04","Keutschacher See - Tal","-",100
"AT2147000","AT00","","",100
"AT2148000","AT00","","",100
"AT2151000","AT03","Finkensteiner Moor","*",80
"AT2205000","","Ramsargebiet Pürgschachen-Moos","-",3
"AT2205000","AT03","Naturschutzgebiet Nr 45 c Ennsauwald Klausner","+",1
"AT2205000","AT03","Naturschutzgebiet Nr. I Gesäuse","*",20
"AT2205000","AT04","","",78
"AT2208000","AT00","","",93
"AT2208000","AT17","","",7
"AT2208000","AT17","Lafnitz, Hühnerbach, Altarme und Zubringer","-",7
"AT2209000","AT04","Schladminger Tauern bis zum Sölkerpaß","+",28
"AT2209001","AT04","","",86
"AT2209001","AT06","","",14
"AT2209001","AT06","Toteisboden in der Gemeinde Rohrmoos - Unterthal","+",14
"AT2209004","AT04","","",100
"AT2209004","AT04","Rottenmanner, Triebener- und Seckauer Alpen","+",100
"AT2210000","AT03","Naturschutzgebiet 1, Gesäuse","*",60
"AT2210000","AT04","","",40
"AT2210000","AT04","Landschaftsschutzgebiet 16, Ennstaler-Eisenerzer Alpen","*",40
"AT2211000","AT31","","",10
"AT2211000","AT31","Biotoperhaltungsprogram Land Steiermark","*",10
"AT2211000","AT36","ÖPUL","*",5
"AT2212000","","Wörschacher Moos","+",6
"AT2213000","AT03","Landschaftssee in der Gemeinde Laafeld","-",1
"AT2214000","","Deutschlandsberger Klause","=",100
"AT2214000","AT03","","",100
"AT2215000","AT03","Eisenerzer Reichenstein, Krumpensee","-",20
"AT2215000","AT04","","",80
"AT2216000","AT04","","",20
"AT2218000","AT06","","",100
"AT2219000","AT03","","",100
"AT2220000","","Zirbitzkogl","=",100
"AT2220000","AT03","","",100
"AT2221000","AT03","Gamperlacke","+",100
"AT2225000","AT03","Nr. 77c: Aulandschaft entlang der Laßnitz und Sulm","-",8
"AT2225000","AT17","","",3
"AT2226000","AT02","","",100
"AT2226000","AT04","Furtner Teich - Grebenzen","*",70
"AT2227000","AT04","Rottenmanner, Triebener - und Seckauer Alpen","*",35
"AT2229000","AT00","","",55
"AT2229000","AT03","","",
"AT2209000","AT03","Naturschutzgebiet Nr.XV, Krakau-Schöder","*",5
"AT2209000","AT04","","",87
"AT2209000","AT04","Rottenmanner Triebener und Seckauer Alpen","+",35
"AT2209000","AT04","Wölzer Tauern vom Sölkpaß bis große Windlucke","*",20
"AT2209002","AT04","Schladminger Tauern bis zum Sölkerpaß","-",100
"AT2209003","AT03","Gebiet um den Sölker Paß","-",1
"AT2211000","AT30","Biotoperhaltungsprogram Land Steiermark","+",5
"AT2212000","AT03","","",9
"AT2212000","AT04","Landschaftschutzgebiet Mittleres Ennstal","-",100
"AT2213000","AT03","","",1
"AT2213000","AT17","Gamlitzbach, Gnasbach, Teile der Mur","-",1
"AT2214000","AT03","Naturschutzgebiet Nr. 19c: Deutschlandsberger Klause","=",100
"AT2216000","","Kirchkogel","+",80
"AT2217000","AT04","Nr. 42: Peggauer Wand - Lurgrotte","*",60
"AT2221000","AT04","","",75
"AT2225000","AT03","","",10
"AT2225000","AT03","Nr. 87: Aulandschaft entlang der Sulm, gem Wagna und Retznei","-",2
"AT2226000","AT02","Grebenzen","+",100
"AT2226000","AT04","","",70
"AT2226000","AT06","","",30
"AT2226000","AT06","Mariahof, Dürnberger Moor, Murenteich und Schloßteiche","+",10
"AT2226001","AT04","","",20
"AT2226001","AT06","","",80
"AT2226001","AT06","Mariahof, Dürnberger Moor, Murenteich und Schloßteiche, ....","*",80
"AT2226002","AT06","","",100
"AT2226002","AT06","Furtner Teich mit Hochfeld, Adendorfeld und Mosfeld","+",100
"AT2227000","AT00","","",25
"AT2227000","AT04","","",35
"AT2227000","AT17","","",20
"AT2228000","AT00","","",19
"AT2228000","AT03","Naturschutzgebiet","+",100
"AT2229001","AT17","","",100
"AT2229002","AT99","Europaschutzgebiet ""Ennsaltarme bei Niederstuttern""","-",2
"AT2229002","AT99","Europaschutzgebiet ""Gersdorfer Altarm","-",
"AT2230000","AT04","","",33
"AT2236000","AT03","","",7
"AT2236000","AT03","Murauen Gries","*",
"AT2236000","AT06","Puxer Loch und seine Umgebung","-",7
"AT2240000","AT03","","",80
"AT2240000","AT03","Ennsaltarme bei Niederstuttern","*",80
"BE35027C0","BE02","","",2.18
